iter	MultiClass
0	1.754716984
1	1.617225454
2	1.510597967
3	1.426227904
4	1.354898289
5	1.292761066
6	1.237819823
7	1.189254493
8	1.149423026
9	1.112640283
10	1.077372206
11	1.046955396
12	1.021846868
13	0.997839342
14	0.9773738724
15	0.9541907845
16	0.9353075053
17	0.9165771728
18	0.8978740103
19	0.8837567989
20	0.8689825421
21	0.8550519487
22	0.8455423103
23	0.8340515232
24	0.8236503517
25	0.813672177
26	0.8046405869
27	0.7963588015
28	0.7887080897
29	0.7791939697
30	0.7708954093
31	0.7649103079
32	0.7576170058
33	0.751358767
34	0.745437186
35	0.7413879855
36	0.7352754272
37	0.7305651441
38	0.7264441317
39	0.7209536785
40	0.7169848107
41	0.7121770945
42	0.7084705076
43	0.7035884482
44	0.7006503758
45	0.6989644857
46	0.6952480424
47	0.691945035
48	0.6875131885
49	0.6839488946
50	0.6801857706
51	0.6779711993
52	0.6742789628
53	0.6710216677
54	0.6685572134
55	0.6652515025
56	0.6626111772
57	0.6614260292
58	0.6593581117
59	0.6573564934
60	0.6557875202
61	0.6527476939
62	0.6505396012
63	0.6472302746
64	0.6449957751
65	0.6425056636
66	0.6398539916
67	0.6385948152
68	0.6355459634
69	0.6333082656
70	0.6318564182
71	0.6290456811
72	0.6273176919
73	0.6247163543
74	0.6230670771
75	0.6206113948
76	0.6190563448
77	0.6165147136
78	0.6154187691
79	0.6139617386
80	0.6119763547
81	0.6104547508
82	0.6085148878
83	0.6065073497
84	0.6054720943
85	0.6025890083
86	0.6005600896
87	0.5981627605
88	0.5962659942
89	0.5951733983
90	0.5934362104
91	0.5919989441
92	0.5908110689
93	0.5887427215
94	0.5875838005
95	0.585054205
96	0.583375151
97	0.5817734018
98	0.5804660988
99	0.5791761542
100	0.5783078933
101	0.5767750728
102	0.574004691
103	0.5728391013
104	0.5723724613
105	0.569954962
106	0.5694840838
107	0.5681242361
108	0.5669444343
109	0.5654986059
110	0.5643132098
111	0.5632035806
112	0.5624812521
113	0.5611352433
114	0.5601322017
115	0.5586723989
116	0.5571902056
117	0.5554392231
118	0.5538277704
119	0.5523498043
120	0.5509757827
121	0.5495292752
122	0.548057336
123	0.5468643161
124	0.5456499491
125	0.5437267238
126	0.5429387299
127	0.5415330644
128	0.540405803
129	0.5390223385
130	0.5363271696
131	0.5356107673
132	0.5337697504
133	0.5324480781
134	0.531372975
135	0.5297967707
136	0.5289242058
137	0.5278593653
138	0.5268598927
139	0.5250006891
140	0.5243846253
141	0.5235925851
142	0.5224786849
143	0.521621619
144	0.5194872172
145	0.5185595202
146	0.517757504
147	0.5165533069
148	0.5155408062
149	0.5139136131
150	0.5122233364
151	0.5108072883
152	0.5092300349
153	0.507818851
154	0.5071777512
155	0.5058530746
156	0.5051136032
157	0.5038449426
158	0.5026987372
159	0.5018808571
160	0.5015104631
161	0.5006853174
162	0.4994046721
163	0.4985145985
164	0.4973787278
165	0.496512878
166	0.4957508608
167	0.49466832
168	0.4937871797
169	0.4928087761
170	0.4915457624
171	0.4901730093
172	0.4892083653
173	0.4881140162
174	0.4867056569
175	0.4855695332
176	0.4848110963
177	0.4839342203
178	0.4828116308
179	0.4815180929
180	0.4808152508
181	0.4793453412
182	0.4782157479
183	0.476800984
184	0.4759302606
185	0.4753826501
186	0.474295944
187	0.4737434041
188	0.4728674427
189	0.4713941234
190	0.4704078645
191	0.4697146671
192	0.4689840521
193	0.4683046631
194	0.4672475316
195	0.4658622433
196	0.4649033638
197	0.4642266906
198	0.4630858246
199	0.4624897907
200	0.4618866671
201	0.4612456066
