iter	Passed	Remaining
0	177	177114
1	198	99158
2	220	73185
3	251	62631
4	280	55744
5	305	50681
6	325	46205
7	357	44371
8	402	44272
9	428	42422
10	462	41563
11	496	40906
12	531	40352
13	566	39872
14	604	39728
15	638	39258
16	674	38988
17	706	38546
18	738	38152
19	783	38400
20	823	38411
21	858	38168
22	961	40835
23	1037	42184
24	1065	41542
25	1089	40798
26	1114	40174
27	1143	39698
28	1167	39099
29	1204	38950
30	1241	38794
31	1282	38801
32	1326	38867
33	1361	38686
34	1396	38493
35	1426	38185
36	1460	38020
37	1498	37943
38	1532	37761
39	1569	37673
40	1610	37665
41	1651	37663
42	1689	37592
43	1742	37857
44	1788	37957
45	1826	37889
46	1864	37809
47	1902	37727
48	1940	37656
49	1976	37558
50	2021	37607
51	2062	37592
52	2107	37650
53	2147	37617
54	2175	37386
55	2215	37347
56	2257	37351
57	2290	37203
58	2321	37022
59	2354	36885
60	2398	36923
61	2435	36839
62	2466	36691
63	2510	36717
64	2545	36620
65	2578	36489
66	2610	36356
67	2643	36234
68	2674	36085
69	2714	36058
70	2765	36183
71	2828	36454
72	2872	36471
73	2913	36463
74	2954	36443
75	2993	36389
76	3026	36281
77	3060	36171
78	3092	36047
79	3122	35908
80	3158	35840
81	3192	35744
82	3226	35651
83	3274	35703
84	3304	35576
85	3337	35465
86	3377	35439
87	3408	35327
88	3442	35240
89	3478	35170
90	3511	35080
91	3542	34967
92	3577	34889
93	3609	34789
94	3642	34700
95	3750	35316
96	3801	35390
97	3854	35475
98	3885	35364
99	3918	35265
100	3952	35176
101	3984	35076
102	4018	34995
103	4046	34864
104	4077	34757
105	4111	34675
106	4142	34574
107	4174	34477
108	4208	34397
109	4240	34311
110	4271	34209
111	4305	34134
112	4334	34020
113	4364	33918
114	4398	33847
115	4429	33758
116	4463	33686
117	4493	33590
118	4523	33492
119	4553	33395
120	4585	33310
121	4617	33229
122	4669	33292
123	4706	33250
124	4749	33245
125	4785	33197
126	4816	33108
127	4849	33037
128	4882	32966
129	4918	32915
130	4951	32847
131	4982	32765
132	5014	32691
133	5047	32619
134	5081	32558
135	5113	32484
136	5143	32397
137	5173	32318
138	5201	32219
139	5233	32147
140	5266	32085
141	5298	32015
142	5330	31942
143	5359	31856
144	5389	31778
145	5418	31692
146	5448	31616
147	5488	31594
148	5517	31514
149	5548	31442
150	5581	31382
151	5614	31322
152	5647	31264
153	5679	31198
154	5709	31125
155	5736	31038
156	5766	30960
157	5799	30903
158	5829	30833
159	5859	30760
160	5889	30693
161	5921	30631
162	5949	30549
163	5977	30471
164	6010	30417
165	6040	30350
166	6070	30279
167	6103	30225
168	6132	30152
169	6161	30083
170	6190	30013
171	6225	29967
172	6257	29914
173	6286	29843
174	6316	29777
175	6351	29735
176	6382	29676
177	6412	29614
178	6443	29555
179	6480	29521
180	6512	29469
181	6544	29416
182	6578	29370
183	6611	29320
184	6639	29250
185	6673	29207
186	6707	29161
187	6737	29100
188	6768	29045
189	6804	29007
190	6834	28947
191	6866	28894
192	6906	28878
193	6950	28876
194	6988	28851
195	7028	28832
196	7061	28784
197	7096	28744
198	7128	28691
199	7157	28628
200	7190	28581
201	7226	28549
202	7271	28547
203	7313	28538
204	7366	28568
205	7412	28571
206	7448	28534
207	7481	28486
208	7516	28447
209	7550	28406
210	7580	28346
211	7615	28308
212	7647	28257
213	7678	28202
214	7711	28156
215	7746	28117
216	7779	28069
217	7811	28020
218	7848	27988
219	7886	27962
220	7933	27965
221	7974	27946
222	8018	27938
223	8056	27909
224	8087	27855
225	8118	27803
226	8153	27764
227	8183	27707
228	8217	27666
229	8258	27647
230	8297	27621
231	8344	27622
232	8396	27639
233	8434	27611
234	8465	27556
235	8496	27505
236	8529	27461
237	8573	27449
238	8621	27451
239	8675	27473
240	8720	27462
241	8753	27417
242	8787	27374
243	8819	27325
244	8852	27279
245	8887	27239
246	8919	27190
247	8951	27144
248	8982	27093
249	9014	27043
250	9049	27004
251	9081	26957
252	9115	26913
253	9147	26865
254	9183	26831
255	9222	26802
